,County,State,2020 Base Population,2020 Pop Estimate,2021 Pop Estimate,2022 Pop Estimate,2023 Pop Estimate,State Code,County Code
1217,Wicomico County,Maryland,"103,588","103,565","104,114","104,486","104,800",24,45
1218,Worcester County,Maryland,"52,465","52,522","53,398","53,934","54,171",24,47
1219,Baltimore city,Maryland,"585,690","583,157","576,578","569,107","565,239",24,510
1220,Barnstable County,Massachusetts,"228,995","228,012","232,315","232,078","231,735",25,1
1221,Berkshire County,Massachusetts,"129,039","128,619","128,376","127,547","126,818",25,3
1222,Bristol County,Massachusetts,"579,208","576,772","579,756","579,744","581,841",25,5
1223,Dukes County,Massachusetts,"20,605","20,593","21,127","20,962","20,819",25,7
1224,Essex County,Massachusetts,"809,827","807,791","807,360","806,499","810,089",25,9
1225,Franklin County,Massachusetts,"71,028","70,923","70,991","70,995","70,836",25,11
1226,Hampden County,Massachusetts,"465,839","464,311","462,862","460,758","460,291",25,13
1227,Hampshire County,Massachusetts,"162,316","146,616","163,128","162,518","162,502",25,15
1228,Middlesex County,Massachusetts,"1,632,028","1,628,235","1,617,262","1,616,794","1,623,952",25,17
1229,Nantucket County,Massachusetts,"14,251","14,237","14,506","14,443","14,444",25,19
1230,Norfolk County,Massachusetts,"725,932","724,554","724,471","725,469","727,473",25,21
1231,Plymouth County,Massachusetts,"530,819","530,200","533,059","533,248","535,308",25,23
1232,Suffolk County,Massachusetts,"800,930","797,181","774,514","768,812","768,425",25,25
1233,Worcester County,Massachusetts,"862,116","859,669","862,224","862,873","866,866",25,27
1234,Alcona County,Michigan,"10,169","10,192","10,295","10,397","10,489",26,1
1235,Alger County,Michigan,"8,836","8,842","8,774","8,773","8,757",26,3
1236,Allegan County,Michigan,"120,514","120,669","121,068","121,290","121,939",26,5
1237,Alpena County,Michigan,"28,912","28,886","28,939","28,833","28,904",26,7
1238,Antrim County,Michigan,"23,426","23,458","23,879","24,265","24,409",26,9
1239,Arenac County,Michigan,"15,003","15,001","15,016","15,123","15,145",26,11
1240,Baraga County,Michigan,"8,152","8,142","8,286","8,283","8,310",26,13
1241,Barry County,Michigan,"62,421","62,598","63,141","63,402","63,808",26,15
1242,Bay County,Michigan,"103,855","103,742","103,108","102,638","102,500",26,17
1243,Benzie County,Michigan,"17,964","17,990","18,237","18,327","18,441",26,19
1244,Berrien County,Michigan,"154,318","154,197","153,352","152,835","152,261",26,21
1245,Branch County,Michigan,"44,873","44,884","45,215","44,502","45,215",26,23
1246,Calhoun County,Michigan,"134,297","134,200","133,878","133,424","133,366",26,25
1247,Cass County,Michigan,"51,597","51,559","51,527","51,477","51,642",26,27
1248,Charlevoix County,Michigan,"26,056","26,041","26,199","26,173","26,159",26,29
1249,Cheboygan County,Michigan,"25,586","25,587","25,754","25,964","26,048",26,31
1250,Chippewa County,Michigan,"36,783","36,787","35,849","36,207","36,264",26,33
1251,Clare County,Michigan,"30,863","30,843","31,131","31,307","31,316",26,35
1252,Clinton County,Michigan,"79,130","79,170","79,464","79,652","79,720",26,37
1253,Crawford County,Michigan,"12,991","12,992","13,277","13,434","13,538",26,39
1254,Delta County,Michigan,"36,903","36,870","36,825","36,781","36,790",26,41
1255,Dickinson County,Michigan,"25,955","25,904","25,819","25,943","25,982",26,43
1256,Eaton County,Michigan,"109,165","109,175","108,908","108,854","108,820",26,45
1257,Emmet County,Michigan,"34,111","34,113","34,297","34,215","34,123",26,47
1258,Genesee County,Michigan,"406,217","405,777","404,627","401,923","401,522",26,49
1259,Gladwin County,Michigan,"25,387","25,378","25,475","25,621","25,853",26,51
1260,Gogebic County,Michigan,"14,376","14,346","14,367","14,377","14,224",26,53
1261,Grand Traverse County,Michigan,"95,251","95,425","95,969","96,298","96,421",26,55
1262,Gratiot County,Michigan,"41,762","41,683","41,286","41,104","41,368",26,57
1263,Hillsdale County,Michigan,"45,754","45,731","45,625","45,735","45,587",26,59
1264,Houghton County,Michigan,"37,354","37,237","37,507","37,160","37,599",26,61
1265,Huron County,Michigan,"31,398","31,364","31,307","31,145","30,927",26,63
1266,Ingham County,Michigan,"284,907","284,675","271,224","283,477","284,637",26,65
1267,Ionia County,Michigan,"66,791","66,870","66,823","66,836","66,262",26,67
1268,Iosco County,Michigan,"25,227","25,184","25,350","25,473","25,373",26,69
1269,Iron County,Michigan,"11,633","11,634","11,610","11,705","11,740",26,71
1270,Isabella County,Michigan,"64,396","64,518","64,248","64,366","64,118",26,73
1271,Jackson County,Michigan,"160,370","160,231","160,162","159,758","159,424",26,75
1272,Kalamazoo County,Michigan,"261,677","261,796","260,523","260,892","262,215",26,77
1273,Kalkaska County,Michigan,"17,941","17,931","17,994","18,244","18,490",26,79
1274,Kent County,Michigan,"657,977","658,492","658,852","658,920","661,354",26,81
1275,Keweenaw County,Michigan,"2,047","2,060","2,108","2,155","2,172",26,83
1276,Lake County,Michigan,"12,098","12,094","12,274","12,651","12,734",26,85
1277,Lapeer County,Michigan,"88,620","88,583","88,662","88,632","88,977",26,87
1278,Leelanau County,Michigan,"22,300","22,308","22,627","22,883","23,019",26,89
1279,Lenawee County,Michigan,"99,422","99,325","99,100","98,280","97,520",26,91
1280,Livingston County,Michigan,"193,861","193,968","195,333","196,134","196,757",26,93
1281,Luce County,Michigan,"6,414","6,412","5,977","6,274","6,435",26,95
1282,Mackinac County,Michigan,"10,830","10,816","10,907","10,962","10,851",26,97
1283,Macomb County,Michigan,"881,214","880,238","877,646","874,235","875,101",26,99
1284,Manistee County,Michigan,"25,030","25,066","25,328","25,365","25,562",26,101
1285,Marquette County,Michigan,"66,013","66,012","65,739","66,548","66,999",26,103
1286,Mason County,Michigan,"29,053","29,033","29,339","29,318","29,159",26,105
1287,Mecosta County,Michigan,"39,706","39,790","40,048","40,782","41,099",26,107
1288,Menominee County,Michigan,"23,499","23,451","23,317","23,225","22,945",26,109
1289,Midland County,Michigan,"83,487","83,478","83,479","83,762","84,039",26,111
1290,Missaukee County,Michigan,"15,055","15,065","15,173","15,232","15,311",26,113
1291,Monroe County,Michigan,"154,802","154,896","155,534","155,235","155,045",26,115
1292,Montcalm County,Michigan,"66,604","66,635","67,320","67,209","68,154",26,117
1293,Montmorency County,Michigan,"9,158","9,170","9,302","9,557","9,678",26,119
1294,Muskegon County,Michigan,"174,736","174,784","175,550","175,539","176,564",26,121
1295,Newaygo County,Michigan,"49,982","50,111","50,413","50,728","51,108",26,123
1296,Oakland County,Michigan,"1,274,402","1,272,493","1,272,630","1,271,025","1,270,426",26,125
1297,Oceana County,Michigan,"26,656","26,712","26,860","26,920","26,981",26,127
1298,Ogemaw County,Michigan,"20,768","20,780","20,774","20,919","20,990",26,129
1299,Ontonagon County,Michigan,"5,813","5,804","5,870","5,921","5,906",26,131
1300,Osceola County,Michigan,"22,892","22,909","23,196","23,279","23,330",26,133
1301,Oscoda County,Michigan,"8,220","8,235","8,320","8,391","8,545",26,135
1302,Otsego County,Michigan,"25,089","25,133","25,324","25,561","25,747",26,137
1303,Ottawa County,Michigan,"296,203","296,907","298,393","300,918","303,372",26,139
1304,Presque Isle County,Michigan,"12,988","13,005","13,172","13,343","13,285",26,141
1305,Roscommon County,Michigan,"23,455","23,472","23,653","23,682","23,863",26,143
1306,Saginaw County,Michigan,"190,129","189,882","189,516","188,373","187,782",26,145
1307,St. Clair County,Michigan,"160,379","160,380","160,205","159,668","159,874",26,147
1308,St. Joseph County,Michigan,"60,942","60,941","60,844","60,778","60,878",26,149
1309,Sanilac County,Michigan,"40,612","40,499","40,528","40,482","40,368",26,151
1310,Schoolcraft County,Michigan,"8,050","8,057","8,048","8,174","8,149",26,153
1311,Shiawassee County,Michigan,"68,095","68,010","67,991","67,967","68,025",26,155
1312,Tuscola County,Michigan,"53,322","53,312","53,034","52,908","52,826",26,157
1313,Van Buren County,Michigan,"75,585","75,574","75,678","75,669","75,798",26,159
1314,Washtenaw County,Michigan,"372,258","371,834","365,013","366,504","365,536",26,161
1315,Wayne County,Michigan,"1,793,914","1,789,586","1,774,807","1,758,942","1,751,169",26,163
1316,Wexford County,Michigan,"33,673","33,693","33,898","34,018","34,122",26,165
1317,Aitkin County,Minnesota,"15,706","15,722","15,957","16,142","16,102",27,1
1318,Anoka County,Minnesota,"363,904","364,499","367,802","369,108","372,441",27,3
1319,Becker County,Minnesota,"35,172","35,193","35,336","35,363","35,283",27,5
1320,Beltrami County,Minnesota,"46,238","46,255","46,481","46,511","46,718",27,7
1321,Benton County,Minnesota,"41,376","41,355","41,533","41,509","41,600",27,9
1322,Big Stone County,Minnesota,"5,168","5,158","5,167","5,149","5,105",27,11
1323,Blue Earth County,Minnesota,"69,114","69,204","69,380","69,603","70,006",27,13
1324,Brown County,Minnesota,"25,920","25,914","25,899","25,762","25,628",27,15
1325,Carlton County,Minnesota,"36,191","36,185","36,440","36,544","36,825",27,17
1326,Carver County,Minnesota,"106,919","107,297","108,859","110,120","111,057",27,19
1327,Cass County,Minnesota,"30,090","30,168","30,682","31,308","31,446",27,21
1328,Chippewa County,Minnesota,"12,605","12,608","12,372","12,269","12,172",27,23
1329,Chisago County,Minnesota,"56,619","56,716","57,549","57,898","58,535",27,25
1330,Clay County,Minnesota,"65,316","65,344","65,651","65,860","66,258",27,27
1331,Clearwater County,Minnesota,"8,528","8,578","8,582","8,638","8,644",27,29
1332,Cook County,Minnesota,"5,601","5,597","5,629","5,721","5,639",27,31
1333,Cottonwood County,Minnesota,"11,513","11,516","11,594","11,382","11,319",27,33
1334,Crow Wing County,Minnesota,"66,119","66,277","67,342","67,884","68,304",27,35
1335,Dakota County,Minnesota,"439,878","440,423","442,730","443,272","447,440",27,37
1336,Dodge County,Minnesota,"20,866","20,889","20,952","20,992","21,088",27,39
1337,Douglas County,Minnesota,"38,996","39,087","39,298","39,684","39,953",27,41
1338,Faribault County,Minnesota,"13,919","13,898","13,906","13,930","13,873",27,43
1339,Fillmore County,Minnesota,"21,237","21,243","21,331","21,454","21,522",27,45
1340,Freeborn County,Minnesota,"30,893","30,896","30,803","30,683","30,515",27,47
1341,Goodhue County,Minnesota,"47,580","47,578","48,042","48,041","48,035",27,49
1342,Grant County,Minnesota,"6,074","6,093","6,149","6,121","6,139",27,51
1343,Hennepin County,Minnesota,"1,281,571","1,281,649","1,270,055","1,257,066","1,258,713",27,53
1344,Houston County,Minnesota,"18,846","18,849","18,819","18,727","18,582",27,55
1345,Hubbard County,Minnesota,"21,350","21,397","21,749","21,963","22,132",27,57
1346,Isanti County,Minnesota,"41,139","41,396","41,962","42,711","43,182",27,59
1347,Itasca County,Minnesota,"45,014","45,034","45,099","45,194","45,365",27,61
1348,Jackson County,Minnesota,"9,994","9,995","10,005","9,898","9,919",27,63
1349,Kanabec County,Minnesota,"16,029","16,053","16,170","16,449","16,602",27,65
1350,Kandiyohi County,Minnesota,"43,726","43,722","43,809","43,771","43,813",27,67
1351,Kittson County,Minnesota,"4,227","4,208","4,178","4,086","4,060",27,69
1352,Koochiching County,Minnesota,"12,064","12,031","11,943","11,848","11,751",27,71
1353,Lac qui Parle County,Minnesota,"6,719","6,699","6,700","6,656","6,630",27,73
1354,Lake County,Minnesota,"10,903","10,912","11,004","10,912","10,855",27,75
1355,Lake of the Woods County,Minnesota,"3,765","3,765","3,826","3,886","3,778",27,77
1356,Le Sueur County,Minnesota,"28,667","28,637","28,900","29,124","29,255",27,79
1357,Lincoln County,Minnesota,"5,641","5,625","5,576","5,576","5,521",27,81
1358,Lyon County,Minnesota,"25,520","25,423","25,492","25,433","25,427",27,83
1359,McLeod County,Minnesota,"36,771","36,755","36,815","36,734","36,785",27,85
1360,Mahnomen County,Minnesota,"5,408","5,380","5,403","5,339","5,280",27,87
1361,Marshall County,Minnesota,"9,033","9,027","8,997","8,889","8,810",27,89
1362,Martin County,Minnesota,"20,027","19,987","19,923","19,656","19,657",27,91
1363,Meeker County,Minnesota,"23,404","23,437","23,403","23,526","23,490",27,93
1364,Mille Lacs County,Minnesota,"26,473","26,468","26,913","27,295","27,427",27,95
1365,Morrison County,Minnesota,"34,026","34,014","34,079","34,237","34,250",27,97
1366,Mower County,Minnesota,"40,033","40,059","40,219","40,050","40,058",27,99
1367,Murray County,Minnesota,"8,168","8,166","8,133","8,040","8,049",27,101
1368,Nicollet County,Minnesota,"34,449","34,494","34,348","34,343","34,242",27,103
1369,Nobles County,Minnesota,"22,289","22,205","22,070","21,958","21,727",27,105
1370,Norman County,Minnesota,"6,443","6,436","6,441","6,371","6,329",27,107
1371,Olmsted County,Minnesota,"162,850","163,037","163,742","164,036","164,784",27,109
1372,Otter Tail County,Minnesota,"60,095","60,099","60,231","60,544","60,626",27,111
1373,Pennington County,Minnesota,"13,988","13,943","13,781","13,816","13,714",27,113
1374,Pine County,Minnesota,"28,889","28,899","29,414","29,533","30,197",27,115
1375,Pipestone County,Minnesota,"9,420","9,417","9,354","9,327","9,245",27,117
1376,Polk County,Minnesota,"31,185","31,076","30,819","30,725","30,412",27,119
1377,Pope County,Minnesota,"11,306","11,325","11,410","11,420","11,400",27,121
1378,Ramsey County,Minnesota,"552,355","551,716","544,025","537,303","536,075",27,123
1379,Red Lake County,Minnesota,"3,934","3,938","3,945","3,881","3,911",27,125
1380,Redwood County,Minnesota,"15,427","15,418","15,388","15,358","15,288",27,127
1381,Renville County,Minnesota,"14,724","14,694","14,605","14,473","14,348",27,129
1382,Rice County,Minnesota,"67,101","67,102","67,341","67,523","67,948",27,131
1383,Rock County,Minnesota,"9,693","9,676","9,685","9,554","9,551",27,133
1384,Roseau County,Minnesota,"15,330","15,303","15,274","15,334","15,252",27,135
1385,St. Louis County,Minnesota,"200,233","200,083","199,521","199,558","200,514",27,137
1386,Scott County,Minnesota,"150,916","151,347","153,611","154,423","155,814",27,139
1387,Sherburne County,Minnesota,"97,189","97,593","99,211","100,540","102,206",27,141
1388,Sibley County,Minnesota,"14,825","14,793","14,923","14,928","15,084",27,143
1389,Stearns County,Minnesota,"158,296","158,480","159,204","160,242","160,977",27,145
1390,Steele County,Minnesota,"37,406","37,384","37,427","37,429","37,421",27,147
1391,Stevens County,Minnesota,"9,674","9,666","9,689","9,615","9,728",27,149
1392,Swift County,Minnesota,"9,830","9,800","9,782","9,771","9,719",27,151
1393,Todd County,Minnesota,"25,266","25,294","25,288","25,533","25,667",27,153
1394,Traverse County,Minnesota,"3,357","3,354","3,272","3,242","3,136",27,155
1395,Wabasha County,Minnesota,"21,384","21,407","21,515","21,652","21,683",27,157
1396,Wadena County,Minnesota,"14,062","14,117","14,141","14,236","14,241",27,159
1397,Waseca County,Minnesota,"18,963","18,963","19,002","18,914","18,981",27,161
1398,Washington County,Minnesota,"267,557","268,389","272,865","276,169","278,936",27,163
1399,Watonwan County,Minnesota,"11,262","11,245","11,164","11,106","11,077",27,165
1400,Wilkin County,Minnesota,"6,508","6,479","6,411","6,358","6,306",27,167
1401,Winona County,Minnesota,"49,666","49,647","49,788","49,469","49,721",27,169
1402,Wright County,Minnesota,"141,349","141,883","145,204","148,118","151,150",27,171
1403,Yellow Medicine County,Minnesota,"9,523","9,495","9,439","9,484","9,467",27,173
1404,Adams County,Mississippi,"29,538","29,423","28,846","28,517","28,746",28,1
1405,Alcorn County,Mississippi,"34,746","34,733","34,398","34,147","34,135",28,3
1406,Amite County,Mississippi,"12,721","12,700","12,622","12,559","12,442",28,5
1407,Attala County,Mississippi,"17,886","17,818","17,715","17,530","17,359",28,7
1408,Benton County,Mississippi,"7,646","7,664","7,638","7,556","7,438",28,9
1409,Bolivar County,Mississippi,"30,980","30,835","30,201","29,461","28,968",28,11
1410,Calhoun County,Mississippi,"13,263","13,219","12,961","12,846","12,685",28,13
1411,Carroll County,Mississippi,"9,999","9,934","9,822","9,736","9,535",28,15
1412,Chickasaw County,Mississippi,"17,110","17,086","17,007","16,863","16,866",28,17
1413,Choctaw County,Mississippi,"8,249","8,211","8,137","8,095","8,088",28,19
1414,Claiborne County,Mississippi,"9,135","9,097","8,886","8,775","8,617",28,21
1415,Clarke County,Mississippi,"15,610","15,545","15,415","15,203","15,228",28,23
1416,Clay County,Mississippi,"18,633","18,622","18,481","18,311","18,206",28,25
1417,Coahoma County,Mississippi,"21,385","21,224","20,721","20,235","20,077",28,27
1418,Copiah County,Mississippi,"28,369","28,270","27,922","27,712","27,664",28,29
1419,Covington County,Mississippi,"18,335","18,295","18,273","18,142","18,059",28,31
1420,DeSoto County,Mississippi,"185,312","186,122","189,004","191,144","193,247",28,33
1421,Forrest County,Mississippi,"78,162","78,189","77,869","77,976","78,208",28,35
1422,Franklin County,Mississippi,"7,681","7,665","7,687","7,611","7,610",28,37
